-6.5006,-2.0754
-9.832,-0.33825
-8.402,-2.2302
-6.7278,-1.3712
-5.9001,-2.1192
-5.1568,-1.37
-8.3743,-0.44228
-6.9452,-2.7045
-7.8827,-0.35797
-8.6676,-0.66592
-8.595,-1.8913
-7.3643,-1.6843
-5.6231,-1.4565
-5.2819,-1.6842
-5.2115,-0.62723
-6.6194,-0.95672
-6.641,-2.3082
-9.66,-1.2306
-8.8798,-2.9651
-5.778,-0.99516
-6.0974,-2.0589
-9.9664,-3.0007
-8.0661,-3.6943
-9.9942,-2.3109
-7.8783,-1.8156
-6.1492,-0.99147
-6.0763,-1.4321
-9.8212,-0.86365
-6.3912,-1.5131
-9.2364,-1.5754
-6.9631,-0.66757
-6.3079,-0.76593
-5.4129,-0.7282
-6.1725,-0.58226
-8.5625,-0.39008
-7.119,-2.4324
-7.267,-1.5469
-6.7778,-2.1947
-6.6049,-2.0997
-5.2741,-0.55097
-6.4536,-0.76227
-9.403,-2.8552
-7.7493,-1.7774
-6.6903,-2.5767
-8.2489,-2.7304
-7.9192,-3.3337
-5.8354,-0.74822
-6.9327,-2.0183
-7.2963,-3.1737
-8.6761,-1.3798
-9.4039,-4.419
-6.7722,-1.6235
-6.8034,-1.853
-6.7634,-1.8393
-6.3948,-1.6706
-5.0315,-0.55013
-9.471,-0.51947
-9.682,-1.9586
-7.7581,-1.419
-6.1825,-1.941
-6.1401,-2.8639
-5.1363,-0.49316
-9.3056,-3.2396
-9.5309,-2.5038
-7.3483,-3.1639
-7.5757,-1.4904
-6.6428,-2.462
-7.3997,-1.2865
-9.25,-2.7107
-8.6893,-0.19314
-6.2253,-0.75571
-7.788,-2.6783
-8.2039,-3.0204
-8.0265,-2.7427
-6.4798,-1.433
-9.9021,-1.6381
-7.8785,-1.0647
-9.0147,-3.7038
-7.8504,-3.4847
-8.0441,-3.0934
-8.016,-3.2405
-6.2246,-1.1746
-8.9199,-3.5252
-5.2535,-0.86043
-6.6437,-1.4571
-5.8325,-2.2422
-9.1637,-3.9495
-5.0506,-1.2991
-5.5786,-1.6402
-9.2262,-0.92199
-7.9652,-2.9818
-5.8721,-2.3194
-8.4074,-2.245
-9.5502,-0.53341
-9.3185,-3.162
-7.5241,-0.7137
-7.525,-0.55537
-9.7251,-4.1366
-7.1972,-3.3453
-6.5167,-1.8989
